finger,servo1_deg,servo2_deg,abduction_deg,flexion_deg,distal_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_travel_mm
2,-70.0,40.0,-5.5667,-44.6702,-44.9065,-35.571,-25.425,177.983,88.397
3,-70.0,40.0,-5.5667,-44.6703,-44.9065,-35.571,-68.159,164.035,88.397
4,-70.0,40.0,-5.5666,-44.6704,-44.9067,103.333,60.912,5.628,88.397
1,-70.0,45.0,-4.3992,-46.9954,-47.336,-40.308,17.838,183.892,92.359
2,-70.0,45.0,-4.3992,-46.9958,-47.3364,-40.309,-23.464,176.702,92.359
3,-70.0,45.0,-4.3992,-46.9958,-47.3365,-40.31,-66.048,163.021,92.359
4,-70.0,45.0,-4.3991,-46.996,-47.3367,102.564,58.7,0.889,92.36
1,-70.0,50.0,-3.332,-49.2386,-49.7069,-44.776,19.462,182.129,96.126
2,-70.0,50.0,-3.332,-49.239,-49.7073,-44.777,-21.665,175.119,96.126
3,-70.0,50.0,-3.3321,-49.2391,-49.7074,-44.778,-64.057,161.686,96.126
4,-70.0,50.0,-3.3319,-49.2393,-49.7076,101.463,56.571,-3.579,96.127
1,-70.0,55.0,-2.3745,-51.361,-51.9797,-48.894,20.875,180.167,99.629
2,-70.0,55.0,-2.3746,-51.3614,-51.9801,-48.895,-20.055,173.314,99.63
3,-70.0,55.0,-2.3746,-51.3615,-51.9802,-48.895,-62.225,160.107,99.63
4,-70.0,55.0,-2.3745,-51.3617,-51.9805,100.101,54.572,-7.696,99.631
1,-70.0,60.0,-1.5358,-53.3175,-54.1059,-52.582,22.065,178.111,102.8
2,-70.0,60.0,-1.5358,-53.3179,-54.1064,-52.583,-18.657,171.394,102.8
3,-70.0,60.0,-1.5358,-53.318,-54.1065,-52.583,-60.589,158.386,102.801
4,-70.0,60.0,-1.5357,-53.3182,-54.1068,98.576,52.751,-11.384,102.801
1,-70.0,65.0,-0.8244,-55.0577,-56.027,-55.765,23.029,176.088,105.566
2,-70.0,65.0,-0.8244,-55.0581,-56.0275,-55.766,-17.486,169.483,105.567
3,-70.0,65.0,-0.8244,-55.0582,-56.0277,-55.766,-59.179,156.644,105.567
4,-70.0,65.0,-0.8243,-55.0584,-56.028,97.005,51.153,-14.567,105.567
1,-70.0,70.0,-0.2485,-56.5273,-57.6754,-58.376,23.772,174.241,107.86
2,-70.0,70.0,-0.2486,-56.5277,-57.6759,-58.377,-16.554,167.724,107.861
3,-70.0,70.0,-0.2486,-56.5278,-57.676,-58.377,-58.025,155.021,107.861
4,-70.0,70.0,-0.2485,-56.5281,-57.6764,95.524,49.823,-17.178,107.862
1,-70.0,75.0,0.1844,-57.6718,-58.9781,-60.357,24.306,172.716,109.619
2,-70.0,75.0,0.1844,-57.6723,-58.9786,-60.358,-15.864,166.263,109.62
3,-70.0,75.0,0.1844,-57.6724,-58.9788,-60.358,-57.15,153.663,109.62
4,-70.0,75.0,0.1845,-57.6727,-58.9792,94.273,48.8,-19.159,109.62
1,-70.0,80.0,0.468,-58.4414,-59.8645,-61.662,24.642,171.648,110.787
2,-70.0,80.0,0.4679,-58.4418,-59.865,-61.663,-15.418,165.236,110.787
3,-70.0,80.0,0.4679,-58.442,-59.8652,-61.663,-56.574,152.703,110.788
4,-70.0,80.0,0.468,-58.4423,-59.8656,93.384,48.119,-20.464,110.788
1,-70.0,85.0,0.5967,-58.7965,-60.2765,-62.256,24.791,171.144,111.322
2,-70.0,85.0,0.5967,-58.7969,-60.2771,-62.257,-15.218,164.751,111.322
3,-70.0,85.0,0.5967,-58.7971,-60.2773,-62.258,-56.312,152.248,111.322
4,-70.0,85.0,0.5968,-58.7974,-60.2777,92.962,47.807,-21.059,111.323
1,-70.0,90.0,0.5669,-58.7139,-60.1804,-62.118,24.756,171.262,111.197
2,-70.0,90.0,0.5668,-58.7142,-60.1809,-62.119,-15.264,164.864,111.198
3,-70.0,90.0,0.5668,-58.7144,-60.1811,-62.12,-56.373,152.354,111.198
4,-70.0,90.0,0.5669,-58.7147,-60.1816,93.061,47.879,-20.921,111.199
1,-65.0,-90.0,-36.2555,-1.5662,-1.549,46.448,-10.874,149.647,36.154
2,-65.0,-90.0,-36.2555,-1.5664,-1.5492,46.448,-48.441,139.644,36.154
3,-65.0,-90.0,-36.2556,-1.5663,-1.549,46.448,-85.974,123.02,36.154
4,-65.0,-90.0,-36.2554,-1.5665,-1.5492,60.565,73.97,87.647,36.154
1,-65.0,-85.0,-36.1227,-1.7148,-1.6962,46.258,-10.901,149.917,36.122
2,-65.0,-85.0,-36.1227,-1.715,-1.6964,46.258,-48.495,139.91,36.122
3,-65.0,-85.0,-36.1228,-1.7149,-1.6962,46.258,-86.063,123.277,36.122
4,-65.0,-85.0,-36.1226,-1.7151,-1.6964,60.81,74.087,87.457,36.122
1,-65.0,-80.0,-35.8485,-2.0216,-2.0001,45.863,-10.951,150.475,36.061
2,-65.0,-80.0,-35.8484,-2.0218,-2.0003,45.862,-48.603,140.46,36.061
3,-65.0,-80.0,-35.8485,-2.0217,-2.0001,45.862,-86.241,123.807,36.061
4,-65.0,-80.0,-35.8484,-2.0219,-2.0003,61.317,74.325,87.061,36.062
1,-65.0,-75.0,-35.4324,-2.4869,-2.4611,45.255,-11.014,151.319,35.983
2,-65.0,-75.0,-35.4323,-2.4871,-2.4614,45.254,-48.754,141.293,35.983
3,-65.0,-75.0,-35.4324,-2.487,-2.4612,45.254,-86.5,124.614,35.983
4,-65.0,-75.0,-35.4323,-2.4872,-2.4614,62.089,74.673,86.453,35.984
1,-65.0,-70.0,-34.8759,-3.109,-3.078,44.426,-11.077,152.445,35.906
2,-65.0,-70.0,-34.8758,-3.1092,-3.0783,44.426,-48.934,142.406,35.907
3,-65.0,-70.0,-34.8759,-3.1091,-3.0781,44.426,-86.824,125.694,35.907
4,-65.0,-70.0,-34.8757,-3.1093,-3.0783,63.126,75.117,85.625,35.907
1,-65.0,-65.0,-34.1821,-3.8843,-3.8475,43.369,-11.119,153.842,35.856
2,-65.0,-65.0,-34.1821,-3.8846,-3.8477,43.368,-49.122,143.79,35.856
3,-65.0,-65.0,-34.1822,-3.8844,-3.8476,43.368,-87.19,127.042,35.856
4,-65.0,-65.0,-34.182,-3.8846,-3.8478,64.424,75.634,84.567,35.857
1,-65.0,-60.0,-33.3564,-4.8076,-4.7646,42.074,-11.117,155.493,35.865
2,-65.0,-60.0,-33.3563,-4.8079,-4.7648,42.074,-49.293,145.433,35.865
3,-65.0,-60.0,-33.3564,-4.8077,-4.7647,42.074,-87.574,128.648,35.865
4,-65.0,-60.0,-33.3563,-4.8079,-4.7649,65.976,76.197,83.273,35.865
1,-65.0,-55.0,-32.4056,-5.8723,-5.8231,40.535,-11.047,157.378,35.971
2,-65.0,-55.0,-32.4055,-5.8725,-5.8233,40.534,-49.42,147.315,35.971
3,-65.0,-55.0,-32.4056,-5.8724,-5.8232,40.534,-87.946,130.498,35.971
4,-65.0,-55.0,-32.4055,-5.8726,-5.8234,67.772,76.776,81.733,35.971
1,-65.0,-50.0,-31.3381,-7.0707,-7.0157,38.743,-10.881,159.47,36.217
2,-65.0,-50.0,-31.3381,-7.0709,-7.016,38.743,-49.474,149.413,36.218
3,-65.0,-50.0,-31.3382,-7.0708,-7.0159,38.743,-88.274,132.571,36.218
4,-65.0,-50.0,-31.338,-7.071,-7.016,69.794,77.336,79.942,36.218
1,-65.0,-45.0,-30.1638,-8.3948,-8.3346,36.695,-10.595,161.738,36.651
2,-65.0,-45.0,-30.1638,-8.395,-8.3348,36.694,-49.427,151.698,36.651
3,-65.0,-45.0,-30.1638,-8.3949,-8.3347,36.694,-88.525,134.842,36.651
4,-65.0,-45.0,-30.1637,-8.3951,-8.3349,72.023,77.843,77.893,36.652
1,-65.0,-40.0,-28.8933,-9.8363,-9.7717,34.383,-10.165,164.145,37.317
2,-65.0,-40.0,-28.8933,-9.8365,-9.7719,34.383,-49.25,154.137,37.318
3,-65.0,-40.0,-28.8934,-9.8364,-9.7718,34.383,-88.668,137.283,37.318
4,-65.0,-40.0,-28.8932,-9.8366,-9.7719,74.432,78.262,75.582,37.318
1,-65.0,-35.0,-27.5381,-11.3872,-11.319,31.807,-9.57,166.651,38.258
2,-65.0,-35.0,-27.5381,-11.3874,-11.3192,31.807,-48.921,156.692,38.258
3,-65.0,-35.0,-27.5382,-11.3873,-11.3191,31.807,-88.675,139.859,38.258
4,-65.0,-35.0,-27.538,-11.3875,-11.3192,76.99,78.56,73.006,38.259
1,-65.0,-30.0,-26.11,-13.0399,-12.9689,28.965,-8.795,169.214,39.508
2,-65.0,-30.0,-26.11,-13.0401,-12.9691,28.964,-48.417,159.322,39.508
3,-65.0,-30.0,-26.11,-13.04,-12.969,28.964,-88.519,142.532,39.508
4,-65.0,-30.0,-26.1099,-13.0402,-12.9692,79.664,78.708,70.163,39.508
1,-65.0,-25.0,-24.621,-14.7872,-14.7144,25.857,-7.827,171.789,41.091
2,-65.0,-25.0,-24.621,-14.7875,-14.7147,25.856,-47.724,161.983,41.091
3,-65.0,-25.0,-24.6211,-14.7874,-14.7146,25.856,-88.18,145.261,41.091
4,-65.0,-25.0,-24.6209,-14.7875,-14.7147,82.414,78.679,67.056,41.092
1,-65.0,-20.0,-23.0833,-16.6228,-16.5491,22.487,-6.663,174.327,43.021
2,-65.0,-20.0,-23.0832,-16.623,-16.5493,22.486,-46.832,164.629,43.021
3,-65.0,-20.0,-23.0833,-16.623,-16.5493,22.486,-87.64,148.001,43.021
4,-65.0,-20.0,-23.0831,-16.6231,-16.5494,85.197,78.453,63.685,43.022
1,-65.0,-15.0,-21.5086,-18.5407,-18.467,18.859,-5.302,176.781,45.299
2,-65.0,-15.0,-21.5086,-18.5409,-18.4673,18.858,-45.735,167.212,45.3
3,-65.0,-15.0,-21.5086,-18.5408,-18.4672,18.858,-86.89,150.705,45.3
4,-65.0,-15.0,-21.5085,-18.541,-18.4673,87.969,78.014,60.057,45.3
1,-65.0,-10.0,-19.9089,-20.5352,-20.4629,14.982,-3.752,179.103,47.916
2,-65.0,-10.0,-19.9089,-20.5355,-20.4631,14.981,-44.436,169.683,47.917
3,-65.0,-10.0,-19.9089,-20.5354,-20.463,14.981,-85.924,153.325,47.917
4,-65.0,-10.0,-19.9088,-20.5355,-20.4631,90.681,77.351,56.18,47.917
1,-65.0,-5.0,-18.2956,-22.6013,-22.5315,10.867,-2.025,181.245,50.853
2,-65.0,-5.0,-18.2956,-22.6015,-22.5317,10.866,-42.942,171.994,50.854
3,-65.0,-5.0,-18.2957,-22.6014,-22.5317,10.866,-84.745,155.811,50.853
4,-65.0,-5.0,-18.2955,-22.6016,-22.5318,93.284,76.461,52.065,50.854
1,-65.0,0.0,-16.6801,-24.7334,-24.6681,6.529,-0.14,183.161,54.083
2,-65.0,0.0,-16.6801,-24.7337,-24.6684,6.529,-41.268,174.096,54.084
3,-65.0,0.0,-16.6801,-24.7336,-24.6683,6.529,-83.36,158.114,54.084
4,-65.0,0.0,-16.68,-24.7337,-24.6684,95.729,75.345,47.728,54.084
1,-65.0,5.0,-15.0733,-26.926,-26.8677,1.989,1.878,184.807,57.575
2,-65.0,5.0,-15.0733,-26.9263,-26.868,1.988,-39.433,175.944,57.576
3,-65.0,5.0,-15.0733,-26.9262,-26.8679,1.988,-81.781,160.185,57.576
4,-65.0,5.0,-15.0732,-26.9264,-26.868,97.966,74.011,43.187,57.576
1,-65.0,10.0,-13.486,-29.1728,-29.125,-2.731,4.0,186.144,61.292
2,-65.0,10.0,-13.4859,-29.1731,-29.1252,-2.731,-37.462,177.495,61.292
3,-65.0,10.0,-13.486,-29.173,-29.1252,-2.731,-80.03,161.981,61.292
4,-65.0,10.0,-13.4859,-29.1732,-29.1253,99.948,72.474,38.468,61.293
1,-65.0,15.0,-11.9287,-31.4664,-31.4337,-7.597,6.192,187.136,65.192
2,-65.0,15.0,-11.9287,-31.4666,-31.434,-7.598,-35.386,178.712,65.193
3,-65.0,15.0,-11.9287,-31.4666,-31.434,-7.598,-78.13,163.457,65.193
4,-65.0,15.0,-11.9286,-31.4667,-31.4341,101.63,70.754,33.6,65.193
1,-65.0,20.0,-10.4119,-33.7977,-33.7866,-12.575,8.417,187.757,69.233
2,-65.0,20.0,-10.4119,-33.7979,-33.7869,-12.576,-33.238,179.562,69.233
3,-65.0,20.0,-10.4119,-33.7979,-33.7869,-12.576,-76.111,164.58,69.233
4,-65.0,20.0,-10.4118,-33.7981,-33.787,102.974,68.875,28.623,69.234
1,-65.0,25.0,-8.9457,-36.1556,-36.1746,-17.619,10.635,187.986,73.366
2,-65.0,25.0,-8.9457,-36.1559,-36.1748,-17.62,-31.056,180.021,73.367
3,-65.0,25.0,-8.9457,-36.1559,-36.1748,-17.62,-74.008,165.321,73.367
4,-65.0,25.0,-8.9456,-36.1561,-36.175,103.949,66.869,23.579,73.367
1,-65.0,30.0,-7.5402,-38.5264,-38.586,-22.678,12.806,187.816,77.542
2,-65.0,30.0,-7.5402,-38.5267,-38.5863,-22.679,-28.879,180.079,77.542
3,-65.0,30.0,-7.5402,-38.5267,-38.5863,-22.679,-71.858,165.662,77.542
4,-65.0,30.0,-7.5401,-38.5269,-38.5865,104.531,64.771,18.52,77.543
1,-65.0,35.0,-6.2053,-40.8927,-41.0063,-27.693,14.889,187.251,81.705
2,-65.0,35.0,-6.2053,-40.893,-41.0066,-27.693,-26.749,179.734,81.706
3,-65.0,35.0,-6.2054,-40.893,-41.0066,-27.694,-69.7,165.598,81.706
4,-65.0,35.0,-6.2053,-40.8932,-41.0068,104.711,62.62,13.505,81.706
1,-65.0,40.0,-4.9509,-43.2331,-43.4165,-32.596,16.846,186.31,85.799
2,-65.0,40.0,-4.9509,-43.2334,-43.4169,-32.597,-24.703,179.003,85.8
3,-65.0,40.0,-4.9509,-43.2334,-43.4169,-32.597,-67.577,165.14,85.8
4,-65.0,40.0,-4.9508,-43.2336,-43.4171,104.497,60.459,8.602,85.8
1,-65.0,45.0,-3.7866,-45.5212,-45.7927,-37.316,18.645,185.031,89.762
2,-65.0,45.0,-3.7866,-45.5215,-45.7931,-37.317,-22.781,177.92,89.762
3,-65.0,45.0,-3.7866,-45.5216,-45.7931,-37.317,-65.529,164.317,89.762
4,-65.0,45.0,-3.7866,-45.5218,-45.7933,103.911,58.331,3.882,89.763
1,-65.0,50.0,-2.722,-47.7253,-48.1043,-41.774,20.257,183.474,93.528
2,-65.0,50.0,-2.722,-47.7256,-48.1046,-41.775,-21.015,176.539,93.528
3,-65.0,50.0,-2.722,-47.7257,-48.1047,-41.775,-63.598,163.179,93.528
4,-65.0,50.0,-2.7219,-47.7259,-48.1049,102.998,56.284,-0.577,93.529
1,-65.0,55.0,-1.7664,-49.8075,-50.313,-45.891,21.662,181.716,97.03
2,-65.0,55.0,-1.7664,-49.8078,-50.3134,-45.892,-19.434,174.938,97.031
3,-65.0,55.0,-1.7664,-49.8079,-50.3135,-45.892,-61.822,161.798,97.031
4,-65.0,55.0,-1.7663,-49.8081,-50.3137,101.827,54.362,-4.694,97.031
1,-65.0,60.0,-0.9288,-51.7243,-52.372,-49.587,22.848,179.859,100.199
2,-65.0,60.0,-0.9289,-51.7246,-52.3725,-49.588,-18.061,173.215,100.199
3,-65.0,60.0,-0.9289,-51.7247,-52.3726,-49.588,-60.235,160.269,100.2
4,-65.0,60.0,-0.9288,-51.725,-52.3728,100.487,52.613,-8.389,100.2
1,-65.0,65.0,-0.2179,-53.427,-54.2259,-52.785,23.811,178.023,102.964
2,-65.0,65.0,-0.218,-53.4274,-54.2263,-52.786,-16.911,171.489,102.965
3,-65.0,65.0,-0.218,-53.4275,-54.2265,-52.786,-58.87,158.708,102.965
4,-65.0,65.0,-0.2179,-53.4277,-54.2268,99.091,51.08,-11.587,102.966
1,-65.0,70.0,0.3581,-54.8638,-55.8114,-55.415,24.556,176.339,105.259
2,-65.0,70.0,0.3581,-54.8642,-55.8119,-55.416,-15.994,169.892,105.26
3,-65.0,70.0,0.3581,-54.8643,-55.812,-55.416,-57.752,157.244,105.26
4,-65.0,70.0,0.3582,-54.8646,-55.8124,97.763,49.803,-14.218,105.26
1,-65.0,75.0,0.7919,-55.9829,-57.0618,-57.417,25.093,174.944,107.02
2,-65.0,75.0,0.7919,-55.9833,-57.0622,-57.418,-15.314,168.561,107.021
3,-65.0,75.0,0.7919,-55.9834,-57.0624,-57.419,-56.905,156.014,107.021
4,-65.0,75.0,0.792,-55.9837,-57.0628,96.636,48.822,-16.22,107.021
1,-65.0,80.0,1.077,-56.737,-57.9128,-58.743,25.433,173.964,108.193
2,-65.0,80.0,1.077,-56.7374,-57.9133,-58.744,-14.874,167.622,108.194
3,-65.0,80.0,1.077,-56.7376,-57.9135,-58.744,-56.346,155.139,108.194
4,-65.0,80.0,1.0771,-56.7379,-57.9138,95.831,48.168,-17.545,108.195
1,-65.0,85.0,1.2081,-57.0889,-58.3124,-59.354,25.585,173.495,108.737
2,-65.0,85.0,1.208,-57.0893,-58.3128,-59.355,-14.673,167.172,108.737
3,-65.0,85.0,1.208,-57.0894,-58.313,-59.355,-56.088,154.719,108.738
4,-65.0,85.0,1.2081,-57.0897,-58.3134,95.443,47.864,-18.156,108.738
1,-65.0,90.0,1.1811,-57.0161,-58.2296,-59.228,25.554,173.593,108.625
2,-65.0,90.0,1.181,-57.0165,-58.2301,-59.229,-14.714,167.265,108.625
3,-65.0,90.0,1.181,-57.0167,-58.2303,-59.229,-56.141,154.807,108.625
4,-65.0,90.0,1.1811,-57.017,-58.2307,95.524,47.927,-18.03,108.626
1,-60.0,-90.0,-35.3025,-0.2939,-0.2904,48.031,-8.92,148.576,34.522
2,-60.0,-90.0,-35.3024,-0.2941,-0.2906,48.031,-46.385,138.784,34.523
3,-60.0,-90.0,-35.3025,-0.294,-0.2904,48.031,-83.824,122.435,34.523
4,-60.0,-90.0,-35.3023,-0.2942,-0.2906,60.228,71.768,89.23,34.523
1,-60.0,-85.0,-35.1717,-0.4412,-0.436,47.852,-8.95,148.846,34.473
2,-60.0,-85.0,-35.1716,-0.4414,-0.4362,47.851,-46.442,139.049,34.473
3,-60.0,-85.0,-35.1717,-0.4413,-0.4361,47.851,-83.915,122.691,34.473
4,-60.0,-85.0,-35.1716,-0.4415,-0.4363,60.471,71.887,89.051,34.474
1,-60.0,-80.0,-34.901,-0.746,-0.7373,47.477,-9.006,149.404,34.377
2,-60.0,-80.0,-34.901,-0.7462,-0.7375,47.477,-46.557,139.598,34.377
3,-60.0,-80.0,-34.9011,-0.7461,-0.7374,47.477,-84.1,123.22,34.377
4,-60.0,-80.0,-34.9009,-0.7463,-0.7376,60.976,72.131,88.676,34.377
1,-60.0,-75.0,-34.49,-1.2085,-1.1949,46.901,-9.079,150.249,34.244
2,-60.0,-75.0,-34.49,-1.2087,-1.1951,46.9,-46.718,140.431,34.244
3,-60.0,-75.0,-34.4901,-1.2086,-1.195,46.9,-84.368,124.025,34.245
4,-60.0,-75.0,-34.4899,-1.2088,-1.1952,61.745,72.489,88.1,34.245
1,-60.0,-70.0,-33.94,-1.8271,-1.8073,46.114,-9.155,151.377,34.095
2,-60.0,-70.0,-33.94,-1.8273,-1.8075,46.113,-46.911,141.544,34.095
3,-60.0,-70.0,-33.9401,-1.8271,-1.8074,46.113,-84.706,125.103,34.095
4,-60.0,-70.0,-33.9399,-1.8273,-1.8076,62.779,72.946,87.313,34.095
1,-60.0,-65.0,-33.2542,-2.5981,-2.5714,45.108,-9.215,152.777,33.955
2,-60.0,-65.0,-33.2541,-2.5983,-2.5716,45.107,-47.117,142.931,33.955
3,-60.0,-65.0,-33.2542,-2.5982,-2.5714,45.107,-85.091,126.451,33.955
4,-60.0,-65.0,-33.2541,-2.5984,-2.5716,64.074,73.481,86.307,33.955
1,-60.0,-60.0,-32.4375,-3.5163,-3.4822,43.874,-9.235,154.435,33.858
2,-60.0,-60.0,-32.4374,-3.5165,-3.4824,43.873,-47.311,144.577,33.859
3,-60.0,-60.0,-32.4375,-3.5164,-3.4823,43.873,-85.498,128.058,33.859
4,-60.0,-60.0,-32.4374,-3.5166,-3.4825,65.625,74.067,85.073,33.859
1,-60.0,-55.0,-31.4966,-4.5752,-4.5337,42.404,-9.192,156.33,33.847
2,-60.0,-55.0,-31.4966,-4.5754,-4.5339,42.403,-47.465,146.466,33.847
3,-60.0,-55.0,-31.4967,-4.5753,-4.5337,42.403,-85.897,129.911,33.847
4,-60.0,-55.0,-31.4965,-4.5755,-4.5339,67.421,74.674,83.602,33.848
1,-60.0,-50.0,-30.4399,-5.767,-5.7184,40.689,-9.057,158.435,33.968
2,-60.0,-50.0,-30.4399,-5.7672,-5.7186,40.689,-47.552,148.574,33.968
3,-60.0,-50.0,-30.4399,-5.7671,-5.7185,40.689,-86.258,131.99,33.968
4,-60.0,-50.0,-30.4398,-5.7673,-5.7187,69.445,75.268,81.888,33.969
1,-60.0,-45.0,-29.2768,-7.0838,-7.0287,38.724,-8.807,160.722,34.273
2,-60.0,-45.0,-29.2768,-7.084,-7.029,38.723,-47.542,150.874,34.273
3,-60.0,-45.0,-29.2769,-7.0839,-7.0289,38.723,-86.549,134.271,34.273
4,-60.0,-45.0,-29.2767,-7.084,-7.029,71.679,75.815,79.922,34.273
1,-60.0,-40.0,-28.0179,-8.5171,-8.4565,36.502,-8.417,163.154,34.812
2,-60.0,-40.0,-28.0178,-8.5173,-8.4567,36.501,-47.408,153.334,34.812
3,-60.0,-40.0,-28.0179,-8.5172,-8.4566,36.501,-86.737,136.727,34.812
4,-60.0,-40.0,-28.0178,-8.5173,-8.4567,74.098,76.28,77.7,34.812
1,-60.0,-35.0,-26.6743,-10.0588,-9.9936,34.019,-7.866,165.693,35.632
2,-60.0,-35.0,-26.6742,-10.0591,-9.9938,34.019,-47.126,155.916,35.633
3,-60.0,-35.0,-26.6743,-10.059,-9.9937,34.019,-86.794,139.325,35.633
4,-60.0,-35.0,-26.6742,-10.0591,-9.9939,76.672,76.63,75.218,35.633
1,-60.0,-30.0,-25.2577,-11.7014,-11.6325,31.275,-7.138,168.296,36.774
2,-60.0,-30.0,-25.2577,-11.7016,-11.6327,31.274,-46.673,158.582,36.775
3,-60.0,-30.0,-25.2578,-11.7015,-11.6326,31.274,-86.694,142.026,36.775
4,-60.0,-30.0,-25.2576,-11.7016,-11.6328,79.368,76.837,72.473,36.775
1,-60.0,-25.0,-23.7801,-13.4374,-13.3659,28.267,-6.221,170.92,38.266
2,-60.0,-25.0,-23.78,-13.4376,-13.3661,28.266,-46.036,161.287,38.266
3,-60.0,-25.0,-23.7801,-13.4375,-13.366,28.266,-86.414,144.792,38.266
4,-60.0,-25.0,-23.78,-13.4377,-13.3662,82.148,76.872,69.465,38.266
1,-60.0,-20.0,-22.2532,-15.2603,-15.1872,24.998,-5.109,173.519,40.121
2,-60.0,-20.0,-22.2532,-15.2605,-15.1874,24.998,-45.201,163.988,40.122
3,-60.0,-20.0,-22.2532,-15.2605,-15.1873,24.998,-85.94,147.578,40.122
4,-60.0,-20.0,-22.2531,-15.2606,-15.1875,84.97,76.716,66.197,40.122
1,-60.0,-15.0,-20.6891,-17.1641,-17.0903,21.473,-3.802,176.044,42.342
2,-60.0,-15.0,-20.689,-17.1643,-17.0905,21.473,-44.165,166.636,42.343
3,-60.0,-15.0,-20.6891,-17.1642,-17.0904,21.473,-85.258,150.339,42.343
4,-60.0,-15.0,-20.689,-17.1643,-17.0905,87.79,76.352,62.672,42.343
1,-60.0,-10.0,-19.0993,-19.1429,-19.0695,17.699,-2.305,178.45,44.917
2,-60.0,-10.0,-19.0993,-19.1431,-19.0697,17.698,-42.929,169.185,44.918
3,-60.0,-10.0,-19.0993,-19.143,-19.0696,17.698,-84.365,153.027,44.918
4,-60.0,-10.0,-19.0992,-19.1432,-19.0698,90.562,75.768,58.897,44.918
1,-60.0,-5.0,-17.4954,-21.1913,-21.1195,13.686,-0.633,180.688,47.825
2,-60.0,-5.0,-17.4954,-21.1915,-21.1198,13.685,-41.499,171.585,47.826
3,-60.0,-5.0,-17.4954,-21.1914,-21.1197,13.685,-83.261,155.594,47.826
4,-60.0,-5.0,-17.4953,-21.1916,-21.1198,93.237,74.962,54.884,47.826
1,-60.0,0.0,-15.8886,-23.3037,-23.2352,9.447,1.199,182.713,51.037
2,-60.0,0.0,-15.8886,-23.304,-23.2355,9.447,-39.889,173.791,51.037
3,-60.0,0.0,-15.8886,-23.3039,-23.2354,9.447,-81.952,157.991,51.037
4,-60.0,0.0,-15.8885,-23.3041,-23.2355,95.766,73.933,50.646,51.038
1,-60.0,5.0,-14.2899,-25.4745,-25.4112,5.003,3.166,184.482,54.517
2,-60.0,5.0,-14.2898,-25.4747,-25.4115,5.002,-38.118,175.756,54.518
3,-60.0,5.0,-14.2899,-25.4747,-25.4114,5.002,-80.453,160.171,54.518
4,-60.0,5.0,-14.2898,-25.4748,-25.4115,98.102,72.689,46.201,54.518
1,-60.0,10.0,-12.71,-27.6969,-27.6418,0.376,5.24,185.957,58.228
2,-60.0,10.0,-12.7099,-27.6972,-27.642,0.375,-36.21,177.439,58.228
3,-60.0,10.0,-12.71,-27.6971,-27.642,0.375,-78.781,162.088,58.228
4,-60.0,10.0,-12.7099,-27.6973,-27.6421,100.196,71.245,41.574,58.228
1,-60.0,15.0,-11.1594,-29.9635,-29.9203,-4.404,7.387,187.102,62.125
2,-60.0,15.0,-11.1594,-29.9637,-29.9206,-4.404,-34.194,178.802,62.126
3,-60.0,15.0,-11.1595,-29.9637,-29.9205,-4.405,-76.96,163.703,62.126
4,-60.0,15.0,-11.1594,-29.9638,-29.9207,102.007,69.619,36.794,62.126
1,-60.0,20.0,-9.6487,-32.265,-32.239,-9.3,9.57,187.89,66.164
2,-60.0,20.0,-9.6486,-32.2653,-32.2393,-9.301,-32.105,179.814,66.165
3,-60.0,20.0,-9.6487,-32.2653,-32.2393,-9.301,-75.021,164.979,66.165
4,-60.0,20.0,-9.6486,-32.2654,-32.2394,103.494,67.837,31.898,66.165
1,-60.0,25.0,-8.1878,-34.5903,-34.5884,-14.271,11.752,188.301,70.296
2,-60.0,25.0,-8.1878,-34.5906,-34.5886,-14.272,-29.978,180.451,70.297
3,-60.0,25.0,-8.1878,-34.5906,-34.5886,-14.272,-72.996,165.888,70.297
4,-60.0,25.0,-8.1877,-34.5908,-34.5888,104.626,65.928,26.927,70.297
1,-60.0,30.0,-6.787,-36.9255,-36.9563,-19.264,13.89,188.326,74.47
2,-60.0,30.0,-6.787,-36.9257,-36.9566,-19.265,-27.854,180.7,74.471
3,-60.0,30.0,-6.787,-36.9257,-36.9566,-19.265,-70.922,166.412,74.471
4,-60.0,30.0,-6.7869,-36.9259,-36.9567,105.381,63.927,21.933,74.471
1,-60.0,35.0,-5.4561,-39.2532,-39.3278,-24.223,15.947,187.969,78.632
2,-60.0,35.0,-5.4561,-39.2534,-39.3281,-24.224,-25.772,180.56,78.632
3,-60.0,35.0,-5.4561,-39.2535,-39.3281,-24.224,-68.839,166.544,78.632
4,-60.0,35.0,-5.456,-39.2536,-39.3283,105.749,61.872,16.975,78.633
1,-60.0,40.0,-4.205,-41.5522,-41.6836,-29.081,17.883,187.248,82.723
2,-60.0,40.0,-4.205,-41.5525,-41.6839,-29.082,-23.77,180.044,82.723
3,-60.0,40.0,-4.205,-41.5525,-41.684,-29.082,-66.788,166.295,82.723
4,-60.0,40.0,-4.2049,-41.5527,-41.6841,105.733,59.805,12.117,82.724
1,-60.0,45.0,-3.0433,-43.7965,-43.9997,-33.766,19.666,186.197,86.681
2,-60.0,45.0,-3.0433,-43.7968,-44.0001,-33.767,-21.887,179.186,86.682
3,-60.0,45.0,-3.0433,-43.7969,-44.0001,-33.767,-64.809,165.689,86.682
